OverallQual,GarageCars,ExterQual,BsmtQual,GrLivArea,GarageFinish,FullBath,GarageType,FireplaceQu,KitchenQual,TotalBsmtSF,2ndFlrSF,CentralAir,1stFlrSF,BsmtFinSF1,TotRmsAbvGrd,YearRemodAdd,Fireplaces,LandContour,YearBuilt,BsmtFinType1,GarageCond,LotArea,BsmtExposure,GarageArea,HalfBath,KitchenAbvGr,MSZoning,Neighborhood,OpenPorchSF,SalePrice
7,2,2.0,2.0,1710,2.0,2,5.0,0.0,2.0,856,854,1.0,856,706,8,2003,0,3.0,2003,2.0,5.0,8450,3.0,548,1,1,3.0,5.0,61,208500
6,2,3.0,2.0,1262,2.0,2,5.0,3.0,3.0,1262,0,1.0,1262,978,6,1976,1,3.0,1976,0.0,5.0,9600,1.0,460,0,1,3.0,24.0,0,181500
7,2,2.0,2.0,1786,2.0,2,5.0,3.0,2.0,920,866,1.0,920,486,6,2002,1,3.0,2001,2.0,5.0,11250,2.0,608,1,1,3.0,5.0,42,223500
7,3,3.0,4.0,1717,1.0,1,1.0,4.0,2.0,756,756,1.0,961,216,7,1970,1,3.0,1915,0.0,5.0,9550,3.0,642,0,1,3.0,6.0,35,140000
8,3,2.0,2.0,2198,2.0,2,5.0,3.0,2.0,1145,1053,1.0,1145,655,9,2000,1,3.0,2000,2.0,5.0,14260,0.0,836,1,1,3.0,15.0,84,250000
5,2,3.0,2.0,1362,1.0,1,5.0,0.0,3.0,796,566,1.0,796,732,5,1995,0,3.0,1993,2.0,5.0,14115,3.0,480,1,1,3.0,11.0,30,143000
8,2,2.0,0.0,1694,2.0,2,5.0,4.0,2.0,1686,0,1.0,1694,1369,7,2005,1,3.0,2004,2.0,5.0,10084,0.0,636,0,1,3.0,21.0,57,307000
7,2,3.0,2.0,2090,2.0,2,5.0,3.0,3.0,1107,983,1.0,1107,859,7,1973,2,3.0,1973,0.0,5.0,10382,2.0,484,1,1,3.0,14.0,204,200000
7,2,3.0,4.0,1774,1.0,2,1.0,3.0,3.0,952,752,1.0,1022,0,8,1950,2,3.0,1931,6.0,5.0,6120,3.0,468,0,2,4.0,17.0,0,129900
5,1,3.0,4.0,1077,2.0,1,5.0,3.0,3.0,991,0,1.0,1077,851,5,1950,2,3.0,1939,2.0,5.0,7420,3.0,205,0,2,3.0,3.0,4,118000
5,1,3.0,4.0,1040,1.0,1,1.0,0.0,3.0,1040,0,1.0,1040,906,5,1965,0,3.0,1965,5.0,5.0,11200,3.0,384,0,1,3.0,19.0,0,129500
9,3,0.0,0.0,2324,3.0,3,3.0,4.0,0.0,1175,1142,1.0,1182,998,11,2006,2,3.0,2005,2.0,5.0,11924,3.0,736,0,1,3.0,16.0,21,345000
5,1,3.0,4.0,912,1.0,1,1.0,0.0,3.0,912,0,1.0,912,737,4,1962,0,3.0,1962,0.0,5.0,12968,3.0,352,0,1,3.0,19.0,0,144000
7,3,2.0,2.0,1494,2.0,2,5.0,4.0,2.0,1494,0,1.0,1494,0,7,2007,1,3.0,2006,6.0,5.0,10652,0.0,840,0,1,3.0,5.0,33,279500
6,1,3.0,4.0,1253,2.0,1,5.0,2.0,3.0,1253,0,1.0,1253,733,5,1960,1,3.0,1960,1.0,5.0,10920,3.0,352,1,1,3.0,12.0,213,157000
7,2,3.0,4.0,854,1.0,1,1.0,0.0,3.0,832,0,1.0,854,0,5,2001,0,3.0,1929,6.0,5.0,6120,3.0,576,0,1,4.0,3.0,112,132000
6,2,3.0,4.0,1004,3.0,1,5.0,3.0,3.0,1004,0,1.0,1004,578,5,1970,1,3.0,1970,0.0,5.0,11241,3.0,480,0,1,3.0,12.0,0,149000
4,2,3.0,3.0,1296,1.0,2,2.0,0.0,3.0,0,0,1.0,1296,0,6,1967,0,3.0,1967,4.0,5.0,10791,4.0,516,0,2,3.0,19.0,0,90000
5,2,3.0,4.0,1114,1.0,1,1.0,0.0,2.0,1114,0,1.0,1114,646,6,2004,0,3.0,2004,2.0,5.0,13695,3.0,576,1,1,3.0,20.0,102,159000
5,1,3.0,4.0,1339,1.0,1,5.0,0.0,3.0,1029,0,1.0,1339,504,6,1965,0,3.0,1958,3.0,5.0,7560,3.0,294,0,1,3.0,12.0,0,139000
8,3,2.0,0.0,2376,2.0,3,3.0,4.0,2.0,1158,1218,1.0,1158,0,9,2006,1,3.0,2005,6.0,5.0,14215,0.0,853,1,1,3.0,16.0,154,325300
7,1,3.0,4.0,1108,1.0,1,5.0,4.0,2.0,637,0,1.0,1108,0,6,1950,1,0.0,1930,6.0,5.0,7449,3.0,280,0,1,4.0,9.0,0,139400
8,2,2.0,2.0,1795,2.0,2,5.0,4.0,2.0,1777,0,1.0,1795,0,7,2002,1,3.0,2002,6.0,5.0,9742,3.0,534,0,1,3.0,5.0,159,230000
5,2,3.0,2.0,1060,1.0,1,5.0,3.0,3.0,1040,0,1.0,1060,840,6,1976,1,3.0,1976,2.0,5.0,4224,3.0,572,0,1,4.0,10.0,110,129900
5,1,3.0,4.0,1060,1.0,1,5.0,3.0,2.0,1060,0,1.0,1060,188,6,2001,1,3.0,1968,5.0,5.0,8246,2.0,270,0,1,3.0,19.0,90,154000
8,3,2.0,2.0,1600,2.0,2,5.0,4.0,2.0,1566,0,1.0,1600,0,7,2007,1,3.0,2007,6.0,5.0,14230,3.0,890,0,1,3.0,16.0,56,256300
5,2,3.0,4.0,900,1.0,1,1.0,0.0,2.0,900,0,1.0,900,234,5,2000,0,3.0,1951,1.0,5.0,7200,2.0,576,0,1,3.0,12.0,32,134800
8,3,2.0,0.0,1704,2.0,2,5.0,4.0,2.0,1704,0,1.0,1704,1218,7,2008,1,3.0,2007,2.0,5.0,11478,3.0,772,0,1,3.0,16.0,50,306000
5,1,3.0,4.0,1600,2.0,1,5.0,4.0,3.0,1484,0,1.0,1600,1277,6,1997,2,3.0,1957,1.0,5.0,16321,1.0,319,0,1,3.0,12.0,258,207500
4,1,3.0,4.0,520,1.0,1,1.0,0.0,1.0,520,0,0.0,520,0,4,1950,0,3.0,1927,6.0,5.0,6324,3.0,240,0,1,4.0,3.0,0,68500
4,1,3.0,4.0,1317,1.0,1,1.0,0.0,3.0,649,668,0.0,649,0,6,1950,0,3.0,1920,6.0,1.0,8500,3.0,250,0,1,0.0,9.0,54,40000
5,1,3.0,4.0,1228,1.0,1,5.0,0.0,2.0,1228,0,1.0,1228,0,6,2006,0,3.0,1966,6.0,5.0,8544,3.0,271,1,1,3.0,19.0,65,149350
8,2,2.0,0.0,1234,2.0,2,5.0,0.0,2.0,1234,0,1.0,1234,0,7,2007,0,3.0,2007,6.0,5.0,11049,0.0,484,0,1,3.0,5.0,30,179900
5,2,3.0,4.0,1700,2.0,1,5.0,4.0,2.0,1398,0,1.0,1700,1018,6,1959,1,3.0,1959,5.0,5.0,10552,3.0,447,1,1,3.0,12.0,38,165500
9,2,0.0,0.0,1561,3.0,2,5.0,4.0,0.0,1561,0,1.0,1561,1153,6,2005,1,3.0,2005,2.0,5.0,7313,3.0,556,0,1,3.0,16.0,47,277500
8,3,2.0,0.0,2452,3.0,3,3.0,4.0,2.0,1117,1320,1.0,1132,0,9,2005,1,3.0,2004,6.0,5.0,13418,0.0,691,1,1,3.0,16.0,32,309000
5,2,3.0,2.0,1097,1.0,1,5.0,0.0,3.0,1097,0,1.0,1097,0,6,1995,0,3.0,1994,6.0,5.0,10859,3.0,672,1,1,3.0,5.0,64,145000
5,2,3.0,4.0,1297,3.0,1,5.0,3.0,3.0,1297,0,1.0,1297,1213,5,1990,1,3.0,1954,5.0,5.0,8532,3.0,498,0,1,3.0,12.0,0,153000
5,1,3.0,4.0,1057,1.0,1,1.0,0.0,2.0,1057,0,1.0,1057,731,5,2007,0,3.0,1953,2.0,5.0,7922,3.0,246,0,1,3.0,12.0,52,109000
4,0,3.0,3.0,1152,0.0,2,0.0,0.0,1.0,0,0,0.0,1152,0,6,1955,0,3.0,1955,4.0,3.0,6040,4.0,0,0,2,3.0,7.0,0,82000
6,2,3.0,4.0,1324,2.0,2,5.0,3.0,3.0,1088,0,1.0,1324,643,6,1965,1,3.0,1965,5.0,5.0,8658,3.0,440,0,1,3.0,12.0,138,160000
5,1,3.0,4.0,1328,2.0,1,5.0,4.0,3.0,1350,0,1.0,1328,967,5,1959,2,3.0,1959,1.0,5.0,16905,1.0,308,1,1,3.0,23.0,104,170000
5,2,3.0,2.0,884,2.0,1,5.0,0.0,2.0,840,0,1.0,884,747,5,1983,0,3.0,1983,0.0,2.0,9180,0.0,504,0,1,3.0,20.0,0,144000
5,1,3.0,2.0,938,1.0,1,1.0,0.0,3.0,938,0,1.0,938,280,5,1980,0,3.0,1975,3.0,5.0,9200,0.0,308,0,1,3.0,5.0,0,130250
5,1,3.0,4.0,1150,2.0,1,5.0,0.0,3.0,1150,0,1.0,1150,179,6,1959,0,3.0,1959,0.0,5.0,7945,3.0,300,0,1,3.0,12.0,0,141000
9,2,0.0,0.0,1752,2.0,2,5.0,4.0,0.0,1752,0,1.0,1752,456,6,2005,1,3.0,2005,2.0,5.0,7658,3.0,576,0,1,3.0,16.0,82,319900
7,2,2.0,0.0,2149,2.0,1,5.0,5.0,2.0,1434,631,1.0,1518,1351,6,2003,1,3.0,2003,2.0,5.0,12822,3.0,670,1,1,3.0,11.0,43,239686
8,3,2.0,2.0,1656,2.0,2,5.0,0.0,2.0,1656,0,1.0,1656,24,7,2006,0,3.0,2006,2.0,5.0,11096,0.0,826,0,1,1.0,21.0,146,249700
4,0,3.0,4.0,1452,0.0,2,0.0,0.0,3.0,736,716,1.0,736,0,8,2008,0,3.0,1920,6.0,3.0,4456,3.0,0,0,3,4.0,17.0,0,113000
5,1,3.0,4.0,955,1.0,1,5.0,0.0,3.0,955,0,1.0,955,763,6,1966,0,3.0,1966,1.0,5.0,7742,3.0,386,0,1,3.0,19.0,0,127000
6,2,3.0,2.0,1470,3.0,2,5.0,0.0,3.0,794,676,1.0,794,182,6,1997,0,3.0,1997,2.0,5.0,13869,0.0,388,0,1,3.0,8.0,75,177000
6,2,3.0,4.0,1176,1.0,1,1.0,4.0,3.0,816,0,1.0,816,0,6,1950,1,3.0,1934,6.0,5.0,6240,3.0,528,0,1,4.0,3.0,0,114500
5,2,1.0,2.0,816,1.0,1,2.0,0.0,3.0,816,0,0.0,816,104,5,1963,0,0.0,1963,3.0,5.0,8472,1.0,516,0,1,4.0,9.0,0,110000
9,3,2.0,0.0,1842,3.0,0,5.0,4.0,2.0,1842,0,1.0,1842,1810,5,1987,1,2.0,1981,2.0,5.0,50271,1.0,894,1,1,3.0,24.0,72,385000
5,2,3.0,4.0,1360,1.0,1,1.0,3.0,3.0,384,0,1.0,1360,384,6,1955,1,0.0,1955,0.0,5.0,7134,3.0,572,0,1,3.0,12.0,50,130000
6,2,3.0,4.0,1425,2.0,2,5.0,4.0,3.0,1425,0,1.0,1425,490,7,1964,1,3.0,1964,1.0,5.0,10175,3.0,576,0,1,3.0,12.0,0,180500
8,2,2.0,2.0,1739,3.0,2,5.0,0.0,2.0,970,756,1.0,983,649,7,2000,0,3.0,1999,2.0,5.0,2645,3.0,480,1,1,1.0,21.0,0,172500
7,2,2.0,2.0,1720,2.0,2,5.0,0.0,2.0,860,860,1.0,860,0,7,2004,0,3.0,2004,6.0,5.0,11645,3.0,565,1,1,3.0,5.0,70,196500
10,3,0.0,0.0,2945,3.0,3,3.0,4.0,2.0,1410,1519,1.0,1426,0,10,2006,1,1.0,2006,6.0,5.0,13682,1.0,641,1,1,3.0,22.0,0,438780
5,1,3.0,4.0,780,1.0,1,1.0,0.0,3.0,780,0,1.0,780,632,4,1972,0,0.0,1972,0.0,5.0,7200,0.0,352,0,1,3.0,5.0,0,124900
6,2,3.0,2.0,1158,1.0,1,1.0,0.0,2.0,1158,0,1.0,1158,941,5,2004,0,3.0,2004,0.0,5.0,13072,3.0,576,1,1,3.0,20.0,50,158000
5,1,3.0,4.0,1111,1.0,1,1.0,0.0,1.0,530,530,0.0,581,0,6,1996,0,3.0,1920,6.0,5.0,7200,3.0,288,0,1,4.0,9.0,0,101000
8,2,2.0,2.0,1370,2.0,2,5.0,4.0,2.0,1370,0,1.0,1370,24,6,2006,1,3.0,2006,2.0,5.0,6442,2.0,484,0,1,3.0,16.0,49,202500
7,2,3.0,4.0,1710,1.0,2,1.0,0.0,3.0,576,808,1.0,902,0,9,1950,0,0.0,1921,6.0,5.0,10300,3.0,480,0,1,4.0,17.0,11,140000
7,2,3.0,2.0,2034,2.0,2,5.0,0.0,2.0,1057,977,1.0,1057,739,8,1998,0,3.0,1997,2.0,5.0,9375,3.0,645,1,1,3.0,5.0,36,219500
8,3,2.0,0.0,2473,2.0,2,3.0,4.0,2.0,1143,1330,1.0,1143,0,9,2005,1,3.0,2004,6.0,5.0,9591,0.0,852,1,1,3.0,16.0,151,317000
