OverallQual,GarageCars,GrLivArea,ExterQual,TotalBsmtSF,BsmtQual,FullBath,BsmtFinSF1,KitchenQual,YearBuilt,Neighborhood,CentralAir,2ndFlrSF,LotArea,OverallCond,FireplaceQu,YearRemodAdd,GarageFinish,KitchenAbvGr,GarageType,LandContour,MSZoning,LotFrontage,SaleCondition,BsmtFullBath,RoofMatl,BsmtExposure,HalfBath,BedroomAbvGr,GarageYrBlt,BsmtFinType1,SalePrice
7,2,1710,2.0,856,2.0,2,706,2.0,2003,5.0,1.0,854,8450,5,0.0,2003,2.0,1,5.0,3.0,3.0,65.0,4.0,1,1.0,3.0,1,3,2003,2.0,208500
6,2,1262,3.0,1262,2.0,2,978,3.0,1976,24.0,1.0,0,9600,8,3.0,1976,2.0,1,5.0,3.0,3.0,80.0,4.0,0,1.0,1.0,0,3,1976,0.0,181500
7,2,1786,2.0,920,2.0,2,486,2.0,2001,5.0,1.0,866,11250,5,3.0,2002,2.0,1,5.0,3.0,3.0,68.0,4.0,1,1.0,2.0,1,3,2001,2.0,223500
7,3,1717,3.0,756,4.0,1,216,2.0,1915,6.0,1.0,756,9550,5,4.0,1970,1.0,1,1.0,3.0,3.0,60.0,0.0,1,1.0,3.0,0,3,1998,0.0,140000
8,3,2198,2.0,1145,2.0,2,655,2.0,2000,15.0,1.0,1053,14260,5,3.0,2000,2.0,1,5.0,3.0,3.0,84.0,4.0,1,1.0,0.0,1,4,2000,2.0,250000
5,2,1362,3.0,796,2.0,1,732,3.0,1993,11.0,1.0,566,14115,5,0.0,1995,1.0,1,5.0,3.0,3.0,85.0,4.0,1,1.0,3.0,1,1,1993,2.0,143000
8,2,1694,2.0,1686,0.0,2,1369,2.0,2004,21.0,1.0,0,10084,5,4.0,2005,2.0,1,5.0,3.0,3.0,75.0,4.0,1,1.0,0.0,0,3,2004,2.0,307000
7,2,2090,3.0,1107,2.0,2,859,3.0,1973,14.0,1.0,983,10382,6,3.0,1973,2.0,1,5.0,3.0,3.0,0.0,4.0,1,1.0,2.0,1,3,1973,0.0,200000
7,2,1774,3.0,952,4.0,2,0,3.0,1931,17.0,1.0,752,6120,5,3.0,1950,1.0,2,1.0,3.0,4.0,51.0,0.0,0,1.0,3.0,0,2,1931,6.0,129900
5,1,1077,3.0,991,4.0,1,851,3.0,1939,3.0,1.0,0,7420,6,3.0,1950,2.0,2,5.0,3.0,3.0,50.0,4.0,1,1.0,3.0,0,2,1939,2.0,118000
5,1,1040,3.0,1040,4.0,1,906,3.0,1965,19.0,1.0,0,11200,5,0.0,1965,1.0,1,1.0,3.0,3.0,70.0,4.0,1,1.0,3.0,0,3,1965,5.0,129500
